cem_key,lawn_key,ptype_norm,retail_price,resale_price,resale_pct,year,sold_date
ROSE HILLS G-01,HOPE GARDEN OF,SINGLE_GRAVE,7775.0,3800.0,0.4887459807073955,,
GREEN ACRES MP,"APOSTLES - GARDEN OF THE, SEC. 85",MULTI_GRAVE,3295.0,2300.0,0.6980273141122914,,
ETERNAL VALLEY MP,"INSPIRATION - GARDEN OF, CREMATION URN GARDEN EXPANSION 7.0",URN_SPACE,6495.0,4400.0,0.6774441878367975,2015.0,2015-06-01
ROSE HILLS G-01,SEQUOIA LAWN,SINGLE_GRAVE,7775.0,3800.0,0.4887459807073955,2020.0,2020-04-17
CATHEDRAL MEMORIAL GARDENS,"ETERNITY, GARDEN OF, WALL J-2, LEVEL A",NICHE_OTHER,6000.0,4000.0,0.6666666666666666,2019.0,2019-07-17
ROSE HILLS G-01,PASSAGE GARDEN OF,MULTI_GRAVE,13775.0,8800.0,0.6388384754990926,2020.0,2020-06-02
ROSE HILLS G-01,HOPE GARDEN OF,MULTI_GRAVE,7775.0,3800.0,0.4887459807073955,,
VALHALLA (PIERCE BROS.),MEMORIAL PARK,SINGLE_GRAVE,5595.0,4200.0,0.7506702412868632,2018.0,2018-12-21
VICTOR VALLEY MP,CRESTLAWN II,SINGLE_GRAVE,2150.0,1600.0,0.7441860465116279,2020.0,2020-04-21
JOSHUA MP,DESERT HOLLY GARDEN,SINGLE_GRAVE,3095.0,1200.0,0.3877221324717286,2014.0,2014-02-10
FOREST LAWN MP,FOND REMEMBRANCE WALL CRYPTS,MAUSOLEUM_OTHER,4715.0,3750.0,0.7953340402969247,2018.0,2018-06-20
FOREST LAWN MP,SHELTERING TREES,SINGLE_GRAVE,5980.0,4700.0,0.7859531772575251,,
HARBOR LAWN MP,"SUNSET LAWN, ROW 6",SINGLE_GRAVE,6695.0,3350.0,0.5003734129947722,2018.0,2018-11-19
DESERT LAWN MP,ACACIA GARDEN OF,SINGLE_GRAVE,5945.0,2020.0,0.33978132884777124,2011.0,2011-04-22
ROSE HILLS G-01,REMEMBRANCE GARDEN OF,SINGLE_GRAVE,7775.0,4400.0,0.5659163987138264,2020.0,2020-05-16
ROSE HILLS G-01,"LAKE, GARDEN BY THE",URN_SPACE,7775.0,4400.0,0.5659163987138264,2020.0,2020-06-19
FOREST LAWN MP,CHERISHED MEMORY,URN_SPACE,2130.0,1700.0,0.7981220657276995,2020.0,2020-01-02
VALLEY OAKS MP,GETHSEMANE GARDEN OF,SINGLE_GRAVE,7995.0,5500.0,0.6879299562226392,,
FOREST LAWN MP,CHERISHED MEMORY,URN_SPACE,2130.0,1700.0,0.7981220657276995,2020.0,2020-01-02
ROSE HILLS G-17,MEMORY LANE LAWN,SINGLE_GRAVE,7475.0,3800.0,0.5083612040133779,2020.0,2020-06-13
ROSE HILLS G-01,AFFECTION GARDEN OF,MULTI_GRAVE,7775.0,3800.0,0.4887459807073955,2020.0,2020-03-24
ROSE HILLS G-17,HILLCREST,SINGLE_GRAVE,7475.0,3800.0,0.5083612040133779,,
CRESTLAWN MP (PIERCE BROS.),ETERNAL HILL,MULTI_GRAVE,7695.0,3300.0,0.42884990253411304,2017.0,2017-10-11
FOREST LAWN MP,GOLDEN DAWN,SINGLE_GRAVE,4945.0,3500.0,0.7077856420626896,2020.0,2020-03-17
ROSE HILLS G-01,PRIMROSE LAWN,MULTI_GRAVE,7775.0,3800.0,0.4887459807073955,2020.0,2020-07-23
JOSHUA TREE MP (FORMERLY KNOWN AS MOUNTAIN VALLEY MP),DESERT SANDS GARDEN OF,NICHE_OTHER,2380.0,1500.0,0.6302521008403361,2009.0,2009-12-05
ROSE HILLS G-01,REMEMBRANCE GARDEN OF,MULTI_GRAVE,7775.0,4400.0,0.5659163987138264,2020.0,2020-05-16
OAKDALE MP,LDS,SINGLE_GRAVE,5995.0,3600.0,0.6005004170141784,,
FAIRHAVEN MP,AN LAWN,SINGLE_GRAVE,10000.0,6500.0,0.65,2020.0,2020-02-03
CRESTLAWN MP (PIERCE BROS.),ETERNAL HILL,MULTI_GRAVE,7695.0,3300.0,0.42884990253411304,2019.0,2019-08-27
DESERT LAWN MP,PEACE GARDEN OF,SINGLE_GRAVE,6045.0,1950.0,0.3225806451612903,2010.0,2010-07-26
DESERT LAWN MP,ST. THERESE GARDEN OF,SINGLE_GRAVE,3745.0,1700.0,0.4539385847797063,2015.0,2015-03-07
DESERT LAWN MP,PEACE GARDEN OF,MULTI_GRAVE,6045.0,1950.0,0.3225806451612903,2016.0,2016-12-05
ROSE HILLS G-01,PRIMROSE LAWN,MULTI_GRAVE,7775.0,3800.0,0.4887459807073955,2020.0,2020-07-23
ROSE HILLS G-11,POPLAR LAWN,MULTI_GRAVE,7475.0,3800.0,0.5083612040133779,2020.0,2020-07-21
ETERNAL VALLEY MP,PIONEER GARDEN OF,MULTI_GRAVE,7495.0,4100.0,0.5470313542361575,2018.0,2018-06-19
JOSHUA TREE MP (FORMERLY KNOWN AS MOUNTAIN VALLEY MP),SIERRA VIEW GARDEN OF,MULTI_GRAVE,1930.0,1270.0,0.6580310880829016,2017.0,2017-02-03
ROSE HILLS G-17,HILLCREST,MULTI_GRAVE,7775.0,3800.0,0.4887459807073955,,
ROSE HILLS G-17,HILLCREST,SINGLE_GRAVE,7775.0,3900.0,0.5016077170418006,2020.0,2020-07-30
ROSE HILLS G-01,REST GARDEN OF,SINGLE_GRAVE,7775.0,4000.0,0.5144694533762058,,
